uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did,text_clean,tokens,tokens_str
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6rnz6zvs26,bafyreid5f6ei3vk2ld7li5pnjydsqkakqipc2rvtyqttfynvqrpvfcziay,"SE realmente a @anapaularenault realmente estiver no #BBB26 espero que ela seja ""amiga de infância"" do @oxemarcelinho, e eles coloquem pra quebrar ali dentro até a final e ganhem esse @BBB 

#TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB",2026-01-12 00:25:02.683000+00:00,0,0,0,2026-01-12 00:25:07.040000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,se realmente a @anapaularenault realmente estiver no #bbb26 espero que ela seja amiga de infância do @oxemarcelinho e eles coloquem pra quebrar ali dentro até a final e ganhem esse @bbb #teammarcelo #teammarcelinho #bbb26 #redebbb #maratonabigday #pipocabbb #marcelinhonobbb,"['realmente', 'realmente', 'estiver', 'espero', 'seja', 'amiga', 'infância', 'coloquem', 'quebrar', 'ali', 'dentro', 'final', 'ganhem']",realmente realmente estiver espero seja amiga infância coloquem quebrar ali dentro final ganhem
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6pzzh46c26,bafyreic5vqzpivp6nf7eaf3rtl7lew352pjbggg3mciv7imgqnsomjeh5e,"#MarcelinhoNoBBB #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB

Rafaela ❌
Marcelo ✅
Jordana✅ 
Ricardo  ❌
Gabriela ❌ 
Breno ❌
Samira✅ 
Pedro ✅
Marciele ✅ 
Ricardinho❌

Quem será que está no Camarote??",2026-01-11 23:55:58.106000+00:00,0,0,1,2026-01-11 23:56:06.980000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,#marcelinhonobbb #teammarcelo #teammarcelinho #bbb26 #redebbb #maratonabigday #pipocabbb rafaela marcelo jordana ricardo gabriela breno samira pedro marciele ricardinho quem será que está no camarote,"['rafaela', 'marcelo', 'jordana', 'ricardo', 'gabriela', 'breno', 'samira', 'pedro', 'marciele', 'ricardinho', 'será', 'camarote']",rafaela marcelo jordana ricardo gabriela breno samira pedro marciele ricardinho será camarote
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6rew3gcc26,bafyreidkpbuupmcxb47suhj6d4bq6vfy5u6fo2xdcyolhh7ff47g65ebbm,"Eu praticamente só votei em todos só 1x, o único que votei várias vezes foi o @oxemarcelinho, mas gostei, não entrou todos que votei, mas o negócio é a partir de amanhã... Ansioso!   mas em partes gostei 
#TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB",2026-01-12 00:19:57.429000+00:00,0,0,0,2026-01-12 00:19:58.335000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,eu praticamente só votei em todos só 1x o único que votei várias vezes foi o @oxemarcelinho mas gostei não entrou todos que votei mas o negócio é a partir de amanhã ansioso mas em partes gostei #teammarcelo #teammarcelinho #bbb26 #redebbb #maratonabigday #pipocabbb #marcelinhonobbb,"['praticamente', 'votei', 'único', 'votei', 'várias', 'vezes', 'gostei', 'entrou', 'votei', 'negócio', 'partir', 'amanhã', 'ansioso', 'partes', 'gostei']",praticamente votei único votei várias vezes gostei entrou votei negócio partir amanhã ansioso partes gostei
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6qqeuovk26,bafyreiapdmziiex7rsj5cjzn4ovettyuythaluq6zejhfgfzaq5bjcukmm,"E aí gostaram do resultado?? 
Eu tava torcendo apenas pelo @oxemarcelinho, os outros tava pelo tanto faz... 
Gostei em partes, e vcs??

#MarcelinhoNoBBB #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay",2026-01-12 00:08:28.293000+00:00,1,0,0,2026-01-12 00:08:28.932000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,e aí gostaram do resultado eu tava torcendo apenas pelo @oxemarcelinho os outros tava pelo tanto faz gostei em partes e vcs #marcelinhonobbb #teammarcelo #teammarcelinho #bbb26 #redebbb #maratonabigday,"['gostaram', 'resultado', 'torcendo', 'outros', 'tanto', 'faz', 'gostei', 'partes']",gostaram resultado torcendo outros tanto faz gostei partes
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6tbkcdkc26,bafyreihejx4e3l754v274axzsnfps2ks6wwjibrou4ffo6576wfaivbdgq, #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB,2026-01-12 00:53:51.893000+00:00,0,0,1,2026-01-12 00:53:53.535000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,#teammarcelinho #bbb26 #redebbb #maratonabigday #pipocabbb #marcelinhonobbb,[],
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcn7ebbkyc2o,bafyreibtwulumqetkldajiztxk5itpxv3mxw7nkpgwcfajrkisiwl642d4,"@BrenoCora e @oxemarcelinho se beijando loucamente!

O casal da edição! 

#TeamMarcelinho #TeamBreno #BBB26 #RedeBBB",2026-01-17 18:07:24.334000+00:00,0,0,1,2026-01-17 18:07:25.530000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,@brenocora e @oxemarcelinho se beijando loucamente o casal da edição #teammarcelinho #teambreno #bbb26 #redebbb,"['beijando', 'loucamente', 'casal', 'edição']",beijando loucamente casal edição
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc3hrtlncc2k,bafyreieoh4sjinkh6xyn2k6hf4mnqgra2go7fh4kl2ezsf6kcdplre42zi,"❤️‍🔥 MUTIRÃO DOUTOR DO POVO ❤️‍🔥
 
🚨 O voto é para ENTRAR NO BBB 26, então votem em MARCELO! 🐦‍🔥

Votem muito!!! 
Link: gshow.globo.com/realities/bb...

 #MarcelinhoNoBBB #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #CasaDeVidro",2026-01-10 16:50:14.377000+00:00,0,0,0,2026-01-10 16:50:19.231000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,mutirão doutor do povo o voto é para entrar no bbb 26 então votem em marcelo votem muito link gshow globo com realities bb #marcelinhonobbb #teammarcelo #teammarcelinho #bbb26 #redebbb #maratonabigday #casadevidro,"['mutirão', 'doutor', 'povo', 'voto', 'entrar', 'então', 'votem', 'marcelo', 'votem', 'link', 'gshow', 'globo', 'realities']",mutirão doutor povo voto entrar então votem marcelo votem link gshow globo realities
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcblyyt27c23,bafyreic73nagaymeawbf3vggnqplsqyc6pdmpju7s7gecowyskjp5jothi,"Já quero eles juntos até o fim do @BBB: 

🥇@oxemarcelinho 
🥈@anapaularenault 
🥉@ssarahandrade 

E que quem causar discórdia entre eles saia no primeiro paredão que for 
 
#TeamMarcelinho #BBB26 #RedeBBB",2026-01-13 03:21:48.153000+00:00,0,0,0,2026-01-13 03:21:48.629000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,já quero eles juntos até o fim do @bbb @oxemarcelinho @anapaularenault @ssarahandrade e que quem causar discórdia entre eles saia no primeiro paredão que for #teammarcelinho #bbb26 #redebbb,"['quero', 'juntos', 'fim', 'causar', 'discórdia', 'entre', 'saia', 'primeiro', 'paredão', 'for']",quero juntos fim causar discórdia entre saia primeiro paredão for
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6rbo6op226,bafyreiabmygf747lnbftwgzp2pwttzdb32dldrrayxuzbm3hjetqvgfni4,De vez enquanto vocês falando de alguém do #BBB e eu sem saber quem é e indo ver de quem vcs tão falando pq só tenho olhos e ouvidos e torcida pro @oxemarcelinho   kkkkkkkkkkkkkkkkkkkkkkkkk #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB,2026-01-12 00:18:08.484000+00:00,0,0,0,2026-01-12 00:18:09.028000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,de vez enquanto vocês falando de alguém do #bbb e eu sem saber quem é e indo ver de quem vcs tão falando pq só tenho olhos e ouvidos e torcida pro @oxemarcelinho kkkkkkkkkkkkkkkkkkkkkkkkk #teammarcelo #teammarcelinho #bbb26 #redebbb #maratonabigday #pipocabbb #marcelinhonobbb,"['vez', 'enquanto', 'falando', 'alguém', 'saber', 'indo', 'ver', 'falando', 'tenho', 'olhos', 'ouvidos', 'torcida', 'kkkkkkkkkkkkkkkkkkkkkkkkk']",vez enquanto falando alguém saber indo ver falando tenho olhos ouvidos torcida kkkkkkkkkkkkkkkkkkkkkkkkk
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcmwtgkj6c2o,bafyreicocz6ar4zczl7yyq2ishijlqbcm522qsactg5wg4rmhj2lre5kjq,"Meu Deus, nunca fui tão cadela de um participante do 
@BBB como tô sento com o @oxemarcelinho no #BBB26, adoro!! kkkkkkkkkkkkkkkkkkkkkkkkkkkk

#TeamMarcelinho #TeamMarcelo #MarcelinhoNoBBB #BBB26 #RedeBBB",2026-01-17 15:34:49.510000+00:00,0,0,1,2026-01-17 15:34:50.232000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,meu deus nunca fui tão cadela de um participante do @bbb como tô sento com o @oxemarcelinho no #bbb26 adoro kkkkkkkkkkkkkkkkkkkkkkkkkkkk #teammarcelinho #teammarcelo #marcelinhonobbb #bbb26 #redebbb,"['deus', 'nunca', 'fui', 'cadela', 'participante', 'sento', 'adoro', 'kkkkkkkkkkkkkkkkkkkkkkkkkkkk']",deus nunca fui cadela participante sento adoro kkkkkkkkkkkkkkkkkkkkkkkkkkkk
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcmwsts3ck2o,bafyreiehilycagg7cuvvdetitgyq6ae2dz4szkqbs7niuk7lc6smb3gy2y,#TeamMarcelinho #TeamMarcelo #MarcelinhoNoBBB #BBB26 #RedeBBB,2026-01-17 15:34:29.829000+00:00,0,0,1,2026-01-17 15:34:32.533000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,#teammarcelinho #teammarcelo #marcelinhonobbb #bbb26 #redebbb,[],
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc36cmtk5s2k,bafyreiakc7y3vmfq7j7hocxnw2tk4ehrjmccnmipylpocnylvy6tjjobhq,"Amanheceu e temos que ter biscoitos no café da manhã kkkkkkkkkk 
Claro que darei RT nos biscoitos do @oxemarcelinho queremos nosso divo de CN no #BBB26 sim

Votem muito!!! gshow.globo.com/realities/bb...

#MarcelinhoNoBBB #TeamMarcelo #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #CasaDeVidro",2026-01-10 14:00:40.297000+00:00,0,0,0,2026-01-10 14:00:44.335000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,amanheceu e temos que ter biscoitos no café da manhã kkkkkkkkkk claro que darei rt nos biscoitos do @oxemarcelinho queremos nosso divo de cn no #bbb26 sim votem muito gshow globo com realities bb #marcelinhonobbb #teammarcelo #teammarcelinho #bbb26 #redebbb #maratonabigday #casadevidro,"['amanheceu', 'temos', 'ter', 'biscoitos', 'café', 'manhã', 'kkkkkkkkkk', 'claro', 'darei', 'biscoitos', 'queremos', 'divo', 'sim', 'votem', 'gshow', 'globo', 'realities']",amanheceu temos ter biscoitos café manhã kkkkkkkkkk claro darei biscoitos queremos divo sim votem gshow globo realities
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mc6s56dl2s26,bafyreie54fqvta26pqbrtglfvisxt2rmzbk2vcts6iyqlolnrcwloof6bi,"Fotos oficiais do nosso divo! Prontos para torcerem muito? #BBB26

By @oxemarcelinho 

🔥 #TeamMarcelinho #BBB26 #RedeBBB #MaratonaBigDay #PipocaBBB #MarcelinhoNoBBB",2026-01-12 00:33:31.338000+00:00,0,0,0,2026-01-12 00:34:07.835000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,fotos oficiais do nosso divo prontos para torcerem muito #bbb26 by @oxemarcelinho #teammarcelinho #bbb26 #redebbb #maratonabigday #pipocabbb #marcelinhonobbb,"['fotos', 'oficiais', 'divo', 'prontos', 'torcerem']",fotos oficiais divo prontos torcerem
at://did:plc:ksh7ckrh4fyn3oog46xlovsf/app.bsky.feed.post/3mcmweim4bk2o,bafyreidjfhtu6znj43p5kmzkunh5pno7biwsw4d5rywu5ayfn7xelijhem,"Meu casal @oxemarcelinho e @BrenoCora ❤️
Que beijão do CARALEO!!! T 
#TeamMarcelinho #TeamMarcelo #MarcelinhoNoBBB #BBB26 #RedeBBB",2026-01-17 15:26:28.343000+00:00,0,0,1,2026-01-17 15:26:29.833000+00:00,francastro.bsky.social, Фран Кастро,did:plc:ksh7ckrh4fyn3oog46xlovsf,meu casal @oxemarcelinho e @brenocora que beijão do caraleo t #teammarcelinho #teammarcelo #marcelinhonobbb #bbb26 #redebbb,"['casal', 'beijão', 'caraleo']",casal beijão caraleo
at://did:plc:34w2qqfauelc42s57x2mc4dt/app.bsky.feed.post/3mcqhz2hyd224,bafyreidl4e43lnqbuwzwioakfrds5zhshoj6vrgzvyoqhamfesfi3hfdum,O Alberto Cowboy contando a vida relativamente playbas dele toda baseada em mundo corporativo e banco… e tamo aqui esperando a hora que chega a fazenda e o rodeio. #BBB,2026-01-19 01:20:10.997000+00:00,1,0,46,2026-01-19 01:20:11.730000+00:00,leilagermano.bsky.social,Leila Germano 🪑,did:plc:34w2qqfauelc42s57x2mc4dt,o alberto cowboy contando a vida relativamente playbas dele toda baseada em mundo corporativo e banco e tamo aqui esperando a hora que chega a fazenda e o rodeio #bbb,"['alberto', 'cowboy', 'contando', 'vida', 'relativamente', 'playbas', 'baseada', 'mundo', 'corporativo', 'banco', 'tamo', 'esperando', 'hora', 'chega', 'fazenda', 'rodeio']",alberto cowboy contando vida relativamente playbas baseada mundo corporativo banco tamo esperando hora chega fazenda rodeio
at://did:plc:77m7szcps5ahfhlj275enasd/app.bsky.feed.post/3mcsnd5sfgc2x,bafyreibyqwavog2kyswmjjmixg2hoyn74yi5kiwkltb32g6qdafp4tms7q,"Cowboy e Jonas são dois imundos. ""A casa dos outros"" que é pra demarcar que a Milena não pertence à casa do BBB. #BBB26",2026-01-19 22:00:38.208000+00:00,4,2,6,2026-01-19 22:00:41.128000+00:00,mulherbeliche.bsky.social,Vivian,did:plc:77m7szcps5ahfhlj275enasd,cowboy e jonas são dois imundos a casa dos outros que é pra demarcar que a milena não pertence à casa do bbb #bbb26,"['cowboy', 'jonas', 'são', 'dois', 'imundos', 'casa', 'outros', 'demarcar', 'milena', 'pertence', 'casa']",cowboy jonas são dois imundos casa outros demarcar milena pertence casa
at://did:plc:mgkqtylfno2gkkl4rtwry4js/app.bsky.feed.post/3mchchpzmv222,bafyreicb2wyrimsn75fcjglvg3yu4uwt3ncvmpf6vba7oi7r6aveyzmd6q,Cordei e Alberto Cowboy líder. Acho que vai ser interessante #BBB #BBB26,2026-01-15 09:47:03.261000+00:00,1,0,4,2026-01-15 09:47:05.030000+00:00,fabiruiva.bsky.social,Fabiana,did:plc:mgkqtylfno2gkkl4rtwry4js,cordei e alberto cowboy líder acho que vai ser interessante #bbb #bbb26,"['cordei', 'alberto', 'cowboy', 'líder', 'acho', 'ser', 'interessante']",cordei alberto cowboy líder acho ser interessante
at://did:plc:jqs453ktxco5ho5z46wardhp/app.bsky.feed.post/3mck7nflkac27,bafyreigvm26a6ia7oyjvy3pzydew6do6s6uuewo7zbp7tjkajzrgbaks4e,"Alberto Cowboy foi coroado Líder, o Big Fone tocou, estratégias são discutidas para o próximo Paredão e mais, no #BBB26.

Confira os últimos acontecimentos na casa:
tracklist.com.br/resumo-bbb-2...",2026-01-16 13:34:31.629000+00:00,0,1,10,2026-01-16 13:34:34.639000+00:00,tracklist.com.br,Tracklist,did:plc:jqs453ktxco5ho5z46wardhp,alberto cowboy foi coroado líder o big fone tocou estratégias são discutidas para o próximo paredão e mais no #bbb26 confira os últimos acontecimentos na casa tracklist com br resumo bbb 2,"['alberto', 'cowboy', 'coroado', 'líder', 'big', 'fone', 'tocou', 'estratégias', 'são', 'discutidas', 'próximo', 'paredão', 'confira', 'últimos', 'acontecimentos', 'casa', 'tracklist', 'resumo']",alberto cowboy coroado líder big fone tocou estratégias são discutidas próximo paredão confira últimos acontecimentos casa tracklist resumo
at://did:plc:rovs7k35giv42zqnwan5gup7/app.bsky.feed.post/3mcbhsq77wc24,bafyreiagquph4mw4p74qskutfcrpactmf3pfsniaisxzdzghlahbs7wg64,"Alberto cowboy foi um grande vilão da sua edição!!!

#AleReality #bbb26 #BBB",2026-01-13 02:06:42.822000+00:00,2,2,10,2026-01-13 02:06:44.134000+00:00,alexandrefelipe.bsky.social,☆ Alê Reality ☆,did:plc:rovs7k35giv42zqnwan5gup7,alberto cowboy foi um grande vilão da sua edição #alereality #bbb26 #bbb,"['alberto', 'cowboy', 'grande', 'vilão', 'edição']",alberto cowboy grande vilão edição
at://did:plc:it4hiz5pphsu2jnzdqlah3e2/app.bsky.feed.post/3mclgu6mxz225,bafyreiaa4coioyccaqmud3ylcczojoqna42tk57vtfaacnoaiimqfgqrom,"Alberto Cowboy disse acabou a combinação dos Pipocas não se votarem por causa da Ana Paula: ""Ela deu uma organizada na galera: 'vai votar em quem? Na calebridade, camarote, ex-bbb? Não tem que ir no pipoca. Esse pipoca tá dando problema!"" #BBB26",2026-01-17 01:16:15.148000+00:00,0,0,4,2026-01-17 01:16:17.631000+00:00,centralbbb.bsky.social,Central BBB 26,did:plc:it4hiz5pphsu2jnzdqlah3e2,alberto cowboy disse acabou a combinação dos pipocas não se votarem por causa da ana paula ela deu uma organizada na galera vai votar em quem na calebridade camarote ex bbb não tem que ir no pipoca esse pipoca tá dando problema #bbb26,"['alberto', 'cowboy', 'disse', 'acabou', 'combinação', 'pipocas', 'votarem', 'causa', 'ana', 'paula', 'deu', 'organizada', 'galera', 'votar', 'calebridade', 'camarote', 'pipoca', 'pipoca', 'dando', 'problema']",alberto cowboy disse acabou combinação pipocas votarem causa ana paula deu organizada galera votar calebridade camarote pipoca pipoca dando problema
at://did:plc:h6n3z5vatkm6ortaao5cddhd/app.bsky.feed.post/3mcbivpmozs2e,bafyreidjtidzw3qqe2pgn265rossqwmrguhlvgsrc6qovxfhvqey7puji4,O alberto cowboy foi um q quase morreu no bbb ne passou malzaço,2026-01-13 02:26:16.620000+00:00,2,0,9,2026-01-13 02:26:18.534000+00:00,marish.bsky.social,Planeta Chupão ☄️,did:plc:h6n3z5vatkm6ortaao5cddhd,o alberto cowboy foi um q quase morreu no bbb ne passou malzaço,"['alberto', 'cowboy', 'quase', 'morreu', 'passou', 'malzaço']",alberto cowboy quase morreu passou malzaço
